"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.032645834E-2,1.776516438E-1,-5.252237320E-1,6.201180071E-2,5.579117660E-1
2.030145834E-2,3.028372526E-1,-7.263112664E-1,6.728326529E-2,7.897882597E-1
3.027645833E-2,3.890807331E-1,-8.620000482E-1,6.523102522E-2,9.479889169E-1
4.025145835E-2,4.248392880E-1,-8.973050714E-1,6.298252195E-2,9.947922445E-1
5.022645835E-2,4.049750566E-1,-8.226149082E-1,6.963051111E-2,9.195371074E-1
6.020145834E-2,3.254874349E-1,-6.778507829E-1,8.090633899E-2,7.562867114E-1
7.017645834E-2,1.965340078E-1,-5.007563829E-1,9.577570111E-2,5.464023757E-1
8.015145833E-2,3.562022746E-2,-3.055421412E-1,1.095711440E-1,3.265434676E-1
9.012645835E-2,-1.440934837E-1,-1.164824292E-1,1.176799238E-1,2.194986397E-1
1.001014583E-1,-3.282918334E-1,1.078441516E-1,1.139554977E-1,3.638567635E-1
1.100764583E-1,-5.062625408E-1,3.621060848E-1,9.812858701E-2,6.301204619E-1
1.200524583E-1,-6.622905135E-1,6.115172505E-1,7.390901446E-2,9.044581883E-1
1.300274583E-1,-7.924090624E-1,8.384136558E-1,4.274556041E-2,1.154416200E0
1.400024584E-1,-8.927977085E-1,1.002082229E0,1.658133417E-2,1.342211415E0
1.499774583E-1,-9.575641155E-1,1.076965928E0,3.188631497E-3,1.441108883E0
1.599524583E-1,-9.890562296E-1,1.092231512E0,9.545059875E-4,1.473500191E0
1.699274583E-1,-9.870488048E-1,1.131589055E0,1.341130864E-2,1.501645429E0
1.799024583E-1,-9.402621388E-1,1.102443933E0,3.363109380E-2,1.449346945E0
1.898774584E-1,-8.637431264E-1,1.041341662E0,4.973143339E-2,1.353852969E0
1.998524583E-1,-7.567578554E-1,9.807906747E-1,7.735267282E-2,1.241215628E0
2.098274583E-1,-6.358719468E-1,9.245518446E-1,9.357059002E-2,1.126003864E0
2.198024583E-1,-5.033032894E-1,8.938200474E-1,1.090358347E-1,1.031560610E0
2.297774584E-1,-3.588592410E-1,8.949089050E-1,1.141130850E-1,9.709086977E-1
2.397524584E-1,-1.922146082E-1,9.333489537E-1,1.149573028E-1,9.598447304E-1
2.497274583E-1,-1.413603313E-2,1.022620678E0,1.046430245E-1,1.028057898E0
2.597034583E-1,1.683698595E-1,1.176991582E0,7.715015113E-2,1.191473768E0
2.696784583E-1,3.476553559E-1,1.385246158E0,4.832448438E-2,1.429022890E0
2.796534583E-1,5.049366355E-1,1.609701157E0,1.348874066E-2,1.687092400E0
2.896284584E-1,6.254397035E-1,1.816218257E0,-1.279805880E-2,1.920933984E0
2.996034583E-1,7.165259719E-1,1.980239391E0,-3.324980289E-2,2.106148871E0
3.095784583E-1,7.719646096E-1,2.094607592E0,-4.451910406E-2,2.232776807E0
3.195534583E-1,7.997413874E-1,2.175291538E0,-4.787095636E-2,2.318139597E0
3.295284583E-1,7.979241610E-1,2.217684507E0,-4.639396816E-2,2.357320500E0
3.395034584E-1,7.604146004E-1,2.206566572E0,-3.838025033E-2,2.334232089E0
3.494784583E-1,6.904752254E-1,2.129506111E0,-3.257102892E-2,2.238886595E0
3.594534583E-1,5.791316628E-1,1.994479060E0,-2.680821717E-2,2.077031267E0
3.694284583E-1,4.452756345E-1,1.828409195E0,-2.079533227E-2,1.881962545E0
3.794034584E-1,2.928541303E-1,1.682640791E0,-1.122206729E-2,1.707972338E0
3.893794584E-1,1.396738589E-1,1.589281678E0,-7.622537669E-3,1.595425693E0
3.993544583E-1,-8.060474880E-3,1.549922585E0,-2.156932373E-3,1.549945046E0
4.093294583E-1,-1.576245576E-1,1.545287371E0,4.569746554E-3,1.553312410E0
4.193044583E-1,-2.960114479E-1,1.566483498E0,4.956970923E-3,1.594213881E0
4.292794583E-1,-4.250653088E-1,1.612225175E0,4.182793200E-4,1.667318418E0
4.392544584E-1,-5.351005197E-1,1.676132798E0,-9.618375450E-3,1.759501701E0
4.492294583E-1,-6.211257577E-1,1.753690124E0,-1.917479746E-2,1.860535925E0
4.592044583E-1,-6.831707358E-1,1.817464590E0,-3.046500310E-2,1.941861969E0
4.691794583E-1,-7.122910619E-1,1.852857232E0,-3.565097600E-2,1.985373887E0
4.791544584E-1,-7.115003467E-1,1.838574648E0,-2.987591177E-2,1.971669863E0
4.891294584E-1,-6.871095300E-1,1.775433779E0,-2.044552565E-2,1.903865181E0
4.991044583E-1,-6.377683282E-1,1.680534482E0,2.145052515E-2,1.797610834E0
5.090794583E-1,-5.583009720E-1,1.568763256E0,2.014997043E-2,1.665269993E0
5.190544583E-1,-4.885471463E-1,1.376361489E0,4.062089324E-2,1.461061026E0
5.290294584E-1,-4.089517891E-1,1.155135989E0,7.832905650E-2,1.227890940E0
5.390054584E-1,-3.095120192E-1,9.765369296E-1,7.777351886E-2,1.027361078E0
5.489804583E-1,-1.786676645E-1,8.450804353E-1,7.598234713E-2,8.670965307E-1
5.589554583E-1,-3.581250459E-2,7.449176311E-1,7.631950080E-2,7.496729146E-1
5.689304583E-1,9.823121876E-2,6.540092230E-1,7.123106718E-2,6.651701294E-1
5.789054583E-1,2.268397808E-1,6.040464640E-1,6.301947683E-2,6.483053842E-1
5.888804584E-1,3.370959461E-1,5.641876459E-1,2.456922084E-2,6.576815516E-1
5.988554583E-1,4.113709629E-1,5.062212944E-1,6.514853798E-3,6.523254643E-1
6.088304583E-1,4.617667794E-1,4.920945764E-1,6.623177789E-3,6.748551675E-1
6.188054583E-1,5.237725973E-1,5.421285033E-1,-4.936804995E-3,7.538338145E-1
6.287804584E-1,5.805714130E-1,5.789910555E-1,-2.051663026E-2,8.201918922E-1
6.387554583E-1,5.943439603E-1,5.335095525E-1,-6.839435082E-3,7.987014233E-1
6.487304583E-1,5.687907934E-1,4.212777615E-1,5.224955268E-3,7.078313494E-1
6.587054583E-1,5.253162980E-1,2.988269329E-1,1.223652530E-2,6.044869571E-1
6.686814583E-1,4.665469825E-1,1.708704978E-1,2.459585667E-2,4.974613252E-1
6.786564583E-1,3.876534998E-1,3.416883573E-2,3.297628835E-2,3.905511245E-1
6.886314584E-1,3.021556139E-1,-1.265179366E-1,3.697162867E-2,3.296539164E-1
6.986064583E-1,2.049379945E-1,-3.106193244E-1,3.883717209E-2,3.741554119E-1
7.085814583E-1,9.529502690E-2,-5.189217925E-1,4.064752534E-2,5.291627256E-1
