"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.145333355E-3,-1.089928905E-3,-2.722611427E-1,-7.864296436E-3,2.723768803E-1
1.812033335E-2,-2.965859370E-3,-2.595927417E-1,-1.178367063E-2,2.598769762E-1
2.809633335E-2,-5.387262907E-3,-2.368638963E-1,-1.356142201E-2,2.373129582E-1
3.807133334E-2,-1.581339282E-3,-2.285556346E-1,-1.152010914E-2,2.288512435E-1
4.804733334E-2,-6.560385227E-3,-2.225211710E-1,-1.263171248E-2,2.229759412E-1
5.802333335E-2,-6.635219790E-3,-2.243417203E-1,-1.017627772E-2,2.246704036E-1
6.799833334E-2,-1.211486012E-2,-2.244941294E-1,-2.785400953E-3,2.248380360E-1
7.797454167E-2,-5.668678787E-3,-2.251671106E-1,7.305315696E-3,2.253568930E-1
8.795054167E-2,4.272020422E-3,-2.036952674E-1,1.071072370E-2,2.040214002E-1
9.792554169E-2,5.765255075E-3,-1.702824533E-1,1.827729680E-2,1.713575550E-1
1.079015417E-1,5.375600420E-3,-1.358785629E-1,2.636574581E-2,1.385172679E-1
1.178765417E-1,5.600637756E-3,-1.170878261E-1,3.278156742E-2,1.217191741E-1
1.278525417E-1,3.008192871E-4,-1.304967701E-1,4.236448184E-2,1.372014826E-1
1.378285417E-1,-5.222843029E-3,-1.723411679E-1,4.754379764E-2,1.788551619E-1
1.478035417E-1,-1.088083163E-2,-2.528958619E-1,5.303065479E-2,2.586251337E-1
1.577795417E-1,-1.394692902E-2,-3.596326709E-1,5.288284644E-2,3.637674673E-1
1.677545417E-1,-2.255006321E-2,-4.514567852E-1,5.250309408E-2,4.550585777E-1
1.777305417E-1,-4.865729809E-2,-5.085253716E-1,5.115180463E-2,5.134024672E-1
1.877065417E-1,-7.481847703E-2,-5.372102261E-1,4.821575060E-2,5.445341037E-1
1.976815417E-1,-1.129530817E-1,-5.540078878E-1,3.824727237E-2,5.666974434E-1
2.076575417E-1,-1.470958591E-1,-5.053784251E-1,1.702067070E-2,5.266253389E-1
