"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.183695835E-2,-3.929234296E-2,8.973501623E-3,3.285311908E-2,5.199749398E-2
2.181195834E-2,5.517717078E-2,6.607016549E-3,1.091266703E-2,5.663266853E-2
3.178595833E-2,1.434877366E-1,-2.369547449E-2,-8.053370751E-3,1.456539146E-1
4.176095835E-2,2.342264354E-1,-8.961616457E-2,-2.486617118E-2,2.520146950E-1
5.173595835E-2,3.198763132E-1,-1.569608450E-1,-2.032184973E-2,3.568900954E-1
6.171095834E-2,3.924684823E-1,-1.445308179E-1,-1.832261682E-2,4.186363400E-1
7.168595833E-2,4.868105948E-1,-3.692959994E-2,-3.768109158E-2,4.896613271E-1
8.166095836E-2,5.586629510E-1,6.266383827E-2,-8.386136591E-2,5.683869968E-1
9.163595835E-2,5.846329927E-1,4.745855182E-2,-1.822557300E-1,6.142191803E-1
1.016109583E-1,5.662459731E-1,-8.041126281E-2,-3.152728975E-1,6.530677401E-1
1.115859583E-1,5.304580927E-1,-2.655996680E-1,-3.975362778E-1,7.141176821E-1
1.215609583E-1,4.990455806E-1,-4.405006468E-1,-4.331781864E-1,7.941855278E-1
1.315359584E-1,4.844552279E-1,-4.646945596E-1,-4.107718766E-1,7.870015477E-1
1.415109583E-1,5.110274553E-1,-2.651684284E-1,-3.245235384E-1,6.608924893E-1
1.514859583E-1,5.425901413E-1,2.451708540E-2,-1.641674191E-1,5.674117468E-1
1.614609583E-1,5.401791930E-1,2.484036982E-1,9.100505151E-3,5.946265862E-1
1.714359584E-1,4.837239981E-1,3.644172549E-1,1.633699685E-1,6.272787169E-1
1.814109584E-1,3.770260513E-1,4.023462534E-1,2.818433344E-1,6.192469751E-1
1.913859583E-1,2.304067910E-1,4.009510279E-1,3.549444675E-1,5.829533353E-1
2.013609583E-1,5.550661683E-2,3.590200841E-1,3.811688721E-1,5.265606465E-1
2.113359583E-1,-1.282437593E-1,2.848552167E-1,3.602852821E-1,4.768589318E-1
2.213109584E-1,-3.111400604E-1,1.862386167E-1,3.017428815E-1,4.717432841E-1
2.312859583E-1,-4.881682098E-1,9.215454757E-2,2.217938453E-1,5.440525448E-1
2.412609583E-1,-6.346412301E-1,8.698588610E-2,1.306575388E-1,6.537640459E-1
2.512359583E-1,-7.427007556E-1,1.978525072E-1,1.819305867E-2,7.688179332E-1
2.612109584E-1,-8.062190413E-1,3.959826231E-1,-1.098458692E-1,9.049074513E-1
2.711849583E-1,-8.194054365E-1,6.598086357E-1,-2.229669541E-1,1.075400841E0
2.811599583E-1,-7.920577526E-1,9.246956706E-1,-3.094309866E-1,1.256250414E0
2.911349583E-1,-7.284567952E-1,1.141865611E0,-3.608013391E-1,1.401671853E0
3.011099584E-1,-6.241136193E-1,1.289664626E0,-3.659936786E-1,1.478750834E0
3.110849583E-1,-4.791999161E-1,1.402213454E0,-3.297119737E-1,1.518072830E0
3.210599583E-1,-3.101978302E-1,1.508335590E0,-2.492173910E-1,1.559938542E0
3.310349583E-1,-1.187979355E-1,1.575444818E0,-1.376630664E-1,1.585903667E0
3.410099584E-1,7.191368937E-2,1.559479594E0,-6.739933044E-3,1.561151373E0
