"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.030512500E-1,1.148428470E-1,-6.558659673E-2,-5.702499300E-2,1.440219810E-1
6.130272500E-1,6.106057018E-2,-2.383968607E-2,-5.381774902E-2,8.481199191E-2
6.230022500E-1,1.204350870E-2,2.497916482E-2,-4.750937223E-2,5.501041017E-2
6.329782500E-1,-4.141598940E-2,6.227886677E-2,-4.043655097E-2,8.502385594E-2
6.429532500E-1,-9.529980272E-2,8.289334178E-2,-2.755230293E-2,1.292767880E-1
6.529282500E-1,-1.460862756E-1,7.314191014E-2,-8.989538066E-3,1.636207527E-1
6.629042500E-1,-1.922517121E-1,3.171554208E-2,5.454169586E-3,1.949265102E-1
6.728792500E-1,-2.310377210E-1,-4.661282152E-2,2.611470781E-2,2.371353235E-1
6.828542500E-1,-2.654255331E-1,-1.494063884E-1,4.695441201E-2,3.081845215E-1
6.928302500E-1,-2.958947718E-1,-2.650874555E-1,6.269076467E-2,4.021880245E-1
7.028052500E-1,-3.102630973E-1,-3.943337500E-1,7.336384803E-2,5.070942221E-1
7.127812500E-1,-3.159433603E-1,-5.175651312E-1,8.297679573E-2,6.120286109E-1
7.227562500E-1,-3.137150407E-1,-6.270489693E-1,8.614913374E-2,7.064199954E-1
7.327312500E-1,-2.972207665E-1,-7.049584389E-1,8.760508150E-2,7.700527481E-1
7.427072500E-1,-2.717069387E-1,-7.513974309E-1,8.297827840E-2,8.033107459E-1
7.526822500E-1,-2.343624681E-1,-7.645100355E-1,7.534299791E-2,8.031674347E-1
7.626572500E-1,-1.887167394E-1,-7.519416809E-1,6.200844795E-2,7.777373251E-1
7.726332500E-1,-1.369249225E-1,-7.194641232E-1,5.344532430E-2,7.343251744E-1
7.826082500E-1,-7.856784761E-2,-6.703266501E-1,4.088485613E-2,6.761525686E-1
7.925842500E-1,-1.975752600E-2,-6.260175109E-1,2.792032063E-2,6.269512167E-1
8.025592500E-1,4.244057462E-2,-5.930641890E-1,1.416692603E-2,5.947495577E-1
8.125342500E-1,9.658876806E-2,-5.862091780E-1,1.871110871E-3,5.941162273E-1
8.225102500E-1,1.441205144E-1,-6.076009274E-1,-9.995413944E-3,6.245394446E-1
8.324852500E-1,1.868171096E-1,-6.591218710E-1,-1.944750547E-2,6.853615679E-1
8.424602500E-1,2.175936848E-1,-7.338564992E-1,-3.339098394E-2,7.661640365E-1
8.524362500E-1,2.410580069E-1,-8.256135583E-1,-4.042918608E-2,8.610349757E-1
8.624112500E-1,2.501466870E-1,-9.285737276E-1,-4.967232794E-2,9.629589154E-1
8.723872500E-1,2.577883601E-1,-1.027287960E0,-5.496775731E-2,1.060564400E0
8.823622500E-1,2.480301261E-1,-1.107011676E0,-5.671033636E-2,1.135874049E0
8.923372500E-1,2.361039519E-1,-1.157726526E0,-5.527622253E-2,1.182848784E0
9.023132500E-1,2.122412473E-1,-1.179198265E0,-5.359810591E-2,1.199344676E0
9.122882500E-1,1.828194410E-1,-1.166980505E0,-5.033200607E-2,1.182285819E0
9.222642500E-1,1.541820765E-1,-1.125755310E0,-4.475864395E-2,1.137145755E0
9.322392500E-1,1.136596799E-1,-1.058276176E0,-3.833030909E-2,1.065052206E0
9.422142500E-1,6.995870173E-2,-9.816035032E-1,-2.876652218E-2,9.845136720E-1
9.521902500E-1,2.615982480E-2,-9.024122953E-1,-1.776580326E-2,9.029661738E-1
9.621652500E-1,-2.131168172E-2,-8.346515894E-1,-7.710965350E-3,8.349592340E-1
9.721402500E-1,-6.770288199E-2,-7.877394557E-1,4.121991806E-3,7.906542361E-1
9.821162500E-1,-1.133168936E-1,-7.632266283E-1,1.549488399E-2,7.717484668E-1
9.920912500E-1,-1.587059498E-1,-7.696778774E-1,2.268541977E-2,7.861973300E-1
1.002067250E0,-1.980755329E-1,-8.011266589E-1,3.605545312E-2,8.260374302E-1
1.012042250E0,-2.359387577E-1,-8.505458832E-1,4.401031509E-2,8.837603208E-1
1.022017250E0,-2.609413862E-1,-9.061225653E-1,5.170672387E-2,9.443633282E-1
1.031993250E0,-2.836256623E-1,-9.586870074E-1,5.729617178E-2,1.001402589E0
1.041968250E0,-2.926669121E-1,-9.994121194E-1,6.077537313E-2,1.043154903E0
1.051943250E0,-2.891507447E-1,-1.014685631E0,6.578851491E-2,1.057129704E0
1.061919250E0,-2.765025496E-1,-1.004283667E0,6.610631943E-2,1.043747761E0
1.071894250E0,-2.560790181E-1,-9.606409073E-1,6.200398505E-2,9.961184219E-1
1.081871125E0,-2.200923264E-1,-8.905768394E-1,5.670257285E-2,9.191207325E-1
1.091846125E0,-1.862805784E-1,-8.005872965E-1,5.205056071E-2,8.236198966E-1
1.101821125E0,-1.433722973E-1,-7.018406391E-1,3.776367009E-2,7.173297660E-1
1.111797125E0,-9.303694963E-2,-5.992583632E-1,2.948203869E-2,6.071537289E-1
1.121772125E0,-4.240081087E-2,-5.008215904E-1,1.685751602E-2,5.028958839E-1
1.131747125E0,6.733977236E-3,-4.212008119E-1,5.581160076E-3,4.212916089E-1
1.141723125E0,5.351527035E-2,-3.717744648E-1,-1.285321917E-2,3.758262127E-1
1.151698125E0,9.107968956E-2,-3.558077514E-1,-2.131035365E-2,3.678978078E-1
1.161674125E0,1.293400973E-1,-3.577254117E-1,-3.225951642E-2,3.817551667E-1
1.171649125E0,1.600045413E-1,-3.767590225E-1,-3.865696117E-2,4.111486044E-1
1.181624125E0,1.823780984E-1,-4.041838348E-1,-4.463228583E-2,4.456662249E-1
1.191600125E0,1.972491890E-1,-4.335409105E-1,-4.825471342E-2,4.787415597E-1
1.201575125E0,2.116522640E-1,-4.525860548E-1,-5.061816424E-2,5.021882281E-1
1.211550125E0,2.098431885E-1,-4.590136111E-1,-5.024665222E-2,5.072005372E-1
1.221526125E0,2.036974430E-1,-4.398452342E-1,-4.811487719E-2,4.871052450E-1
1.231501125E0,1.958155632E-1,-3.915455937E-1,-4.546023905E-2,4.401344341E-1
1.241477125E0,1.815425754E-1,-3.112667501E-1,-4.091280699E-2,3.626548692E-1
1.251452125E0,1.647691876E-1,-2.141889334E-1,-3.769038245E-2,2.728485831E-1
1.261427125E0,1.389808655E-1,-1.059422716E-1,-3.599520400E-2,1.784239351E-1
1.271403125E0,1.075805947E-1,3.112045582E-3,-2.948563918E-2,1.115915414E-1
1.281378125E0,7.265443355E-2,1.071920171E-1,-2.427470684E-2,1.317499778E-1
1.291354125E0,3.812015429E-2,1.964763552E-1,-1.507375296E-2,2.007070560E-1
1.301329125E0,7.168177981E-4,2.735796571E-1,-7.975544780E-3,2.736968248E-1
1.311304125E0,-4.275023192E-2,3.183473945E-1,-4.965640604E-3,3.212433711E-1
1.321280125E0,-8.066099882E-2,3.414249420E-1,5.321810022E-3,3.508639472E-1
1.331255125E0,-1.160219237E-1,3.402355611E-1,1.397282258E-2,3.597451370E-1
1.341230125E0,-1.484807730E-1,3.343165219E-1,2.493655495E-2,3.666550266E-1
1.351206125E0,-1.789302826E-1,3.205524981E-1,3.360168636E-2,3.686448472E-1
1.361181125E0,-1.971212178E-1,3.045762777E-1,3.791302070E-2,3.647751097E-1
1.371157125E0,-2.102210373E-1,3.003474474E-1,4.672302678E-2,3.695734229E-1
1.381132125E0,-2.156199366E-1,3.172496259E-1,5.254038796E-2,3.871689225E-1
1.391107125E0,-2.106022686E-1,3.487234116E-1,5.753701553E-2,4.114265930E-1
1.401083125E0,-2.003910989E-1,4.058782160E-1,5.712393671E-2,4.562421100E-1
1.411058125E0,-1.778229326E-1,4.817301035E-1,5.589808524E-2,5.165360432E-1
1.421033125E0,-1.501498669E-1,5.695004463E-1,5.253500119E-2,5.912999808E-1
1.431009125E0,-1.117620021E-1,6.546952128E-1,4.331567138E-2,6.655770536E-1
1.440984125E0,-7.747423649E-2,7.375733852E-1,3.551836312E-2,7.424811850E-1
1.450960125E0,-3.522105515E-2,8.104931712E-1,2.506651916E-2,8.116452635E-1
1.460935125E0,9.631408378E-3,8.637271523E-1,1.473283488E-2,8.639064846E-1
1.470910125E0,4.879612103E-2,8.939588070E-1,3.388036042E-3,8.952959783E-1
1.480886125E0,8.782301098E-2,9.009239078E-1,-5.875311792E-3,9.052133937E-1
1.490861125E0,1.207292974E-1,8.834820986E-1,-1.591276564E-2,8.918348490E-1
1.500836125E0,1.533561200E-1,8.537279963E-1,-2.242763713E-2,8.676823095E-1
1.510812125E0,1.778806299E-1,8.208808303E-1,-2.722212672E-2,8.403736670E-1
1.520787125E0,1.993691474E-1,7.863341570E-1,-3.286554292E-2,8.118802912E-1
1.530763125E0,2.179281861E-1,7.621755600E-1,-3.887709603E-2,7.936722920E-1
1.540738125E0,2.284406573E-1,7.524201870E-1,-4.091708735E-2,7.873979170E-1
1.550713125E0,2.288997918E-1,7.600805163E-1,-4.231684655E-2,7.949265510E-1
1.560689125E0,2.257137597E-1,7.872432470E-1,-4.250883684E-2,8.200644075E-1
1.570664125E0,2.171306610E-1,8.346954584E-1,-4.463856667E-2,8.636288751E-1
1.580639125E0,2.059118599E-1,8.880007267E-1,-4.129662365E-2,9.124967922E-1
1.590615125E0,1.831322461E-1,9.446491003E-1,-4.498110712E-2,9.632874142E-1
1.600590125E0,1.545909345E-1,9.990256429E-1,-4.068882763E-2,1.011734240E0
1.610566125E0,1.190126985E-1,1.040655732E0,-3.844910860E-2,1.048144412E0
1.620541125E0,8.727725595E-2,1.063490748E0,-3.555317596E-2,1.067658147E0
1.630516125E0,5.004173517E-2,1.066157818E0,-2.772960439E-2,1.067691715E0
1.640492125E0,8.654077537E-3,1.044446945E0,-2.542540617E-2,1.044792212E0
1.650467125E0,-3.203396499E-2,1.005705714E0,-1.767134666E-2,1.006370923E0
1.660443125E0,-7.394542545E-2,9.530747533E-1,-1.112857740E-2,9.560037952E-1
1.670418125E0,-1.031507105E-1,8.910166621E-1,-7.422496565E-4,8.969678434E-1
1.680393125E0,-1.359269172E-1,8.324508071E-1,7.598813623E-3,8.435094635E-1
1.690369125E0,-1.602602303E-1,7.802195549E-1,1.429160312E-2,7.966367712E-1
1.700344125E0,-1.792722344E-1,7.389590144E-1,1.945949905E-2,7.606429064E-1
1.710319125E0,-1.879594624E-1,7.146552801E-1,2.683672123E-2,7.394465082E-1
1.720295125E0,-1.898636222E-1,7.082445621E-1,3.385281563E-2,7.340330837E-1
1.730270125E0,-1.846558154E-1,7.159258723E-1,3.462513536E-2,7.401665521E-1
1.740246125E0,-1.695486009E-1,7.306643128E-1,3.985569254E-2,7.511361677E-1
1.750221125E0,-1.479322463E-1,7.484363914E-1,3.899655491E-2,7.639121106E-1
1.760196125E0,-1.236575842E-1,7.652923465E-1,3.846960142E-2,7.761723288E-1
1.770172125E0,-9.356279671E-2,7.683469653E-1,3.661604226E-2,7.748882439E-1
1.780147125E0,-6.108696014E-2,7.499170899E-1,3.106698021E-2,7.530421075E-1
1.790122125E0,-2.563549206E-2,7.164533734E-1,2.718755603E-2,7.174271935E-1
1.800098125E0,7.798923180E-3,6.642664671E-1,6.663403474E-3,6.643456656E-1
1.810073125E0,4.353987798E-2,6.024973392E-1,-3.396687564E-3,6.040780597E-1
1.820049125E0,7.236398011E-2,5.113499165E-1,-1.275398023E-2,5.166023100E-1
1.830024125E0,8.960714936E-2,4.128151238E-1,-1.717163250E-2,4.227772849E-1
1.839999125E0,1.139243469E-1,3.166282475E-1,-2.179989964E-2,3.372053374E-1
1.849975125E0,1.354043484E-1,2.396024466E-1,-2.716030926E-2,2.765526213E-1
1.859950125E0,1.542474478E-1,1.839129031E-1,-3.133026510E-2,2.420698589E-1
1.869925125E0,1.690000296E-1,1.495796889E-1,-2.976006269E-2,2.276417243E-1
1.879901125E0,1.751341075E-1,1.214836761E-1,-2.434073575E-2,2.145290437E-1
1.889876125E0,1.727092862E-1,1.069513410E-1,-1.386865322E-2,2.036158796E-1
1.899852125E0,1.756870002E-1,1.140607446E-1,-1.030451059E-2,2.097187603E-1
1.909827125E0,1.670687497E-1,1.291052103E-1,-7.771844976E-3,2.112830424E-1
1.919802125E0,1.556321532E-1,1.422436535E-1,-4.844668321E-3,2.108983046E-1
1.929778125E0,1.360392869E-1,1.334807873E-1,-6.200217642E-3,1.906888849E-1
1.939753125E0,1.086178347E-1,1.066812351E-1,-3.451090306E-3,1.522847004E-1
1.949728125E0,7.900188863E-2,6.417664886E-2,-4.136854317E-3,1.018678273E-1
