"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
7.015291660E-3,-2.299527638E-2,-2.665391564E-2,1.283586677E-2,3.746963345E-2
1.699029165E-2,-1.065605506E-2,-3.298611566E-2,6.632604636E-3,3.529343821E-2
2.696629165E-2,4.320764448E-3,-2.052411996E-2,3.404853866E-3,2.124856549E-2
3.694129168E-2,-3.737490159E-3,1.205530949E-2,-6.782873534E-4,1.263959625E-2
4.691729165E-2,-9.857967496E-3,3.678568825E-2,-1.112027559E-2,3.967400802E-2
5.689229167E-2,-1.765576750E-2,3.879042715E-2,-2.913730219E-2,5.162756767E-2
6.686729167E-2,-3.074147552E-2,2.391613834E-2,-5.330415815E-2,6.601782537E-2
7.684329167E-2,-3.890728205E-2,7.811650634E-3,-6.259705871E-2,7.411605927E-2
8.681829166E-2,-3.357323632E-2,-2.601841930E-3,-6.083591282E-2,6.953373330E-2
9.679429166E-2,-1.583794132E-2,-5.811305717E-3,-4.730255902E-2,5.022094930E-2
1.067692917E-1,1.138888486E-2,-3.731909441E-3,-2.477621101E-2,2.752261758E-2
1.167442917E-1,2.447083965E-2,7.091354113E-3,-4.472300876E-3,2.586717556E-2
1.267202916E-1,2.285429835E-2,1.710004546E-2,6.716703996E-3,2.932310728E-2
1.366952917E-1,6.905296817E-3,2.178702503E-2,1.171556860E-2,2.568291517E-2
1.466712917E-1,-1.356056333E-2,9.773239493E-3,1.473772340E-2,2.228464895E-2
1.566462917E-1,-2.797375247E-2,3.244392574E-4,1.580177993E-2,3.212992899E-2
1.666212917E-1,-3.782984614E-2,9.188568220E-4,1.406912878E-2,4.037179637E-2
1.765972917E-1,-6.700696796E-2,9.917857125E-3,1.785882562E-2,7.005166164E-2
1.865722917E-1,-1.046536788E-1,1.777311601E-2,2.658307180E-2,1.094300500E-1
1.965482917E-1,-1.402077377E-1,3.451658785E-2,4.363854602E-2,1.508440494E-1
2.065232917E-1,-1.801535636E-1,5.643946677E-2,6.702989340E-2,2.003340373E-1
2.164982917E-1,-2.169687301E-1,6.232060492E-2,8.301594108E-2,2.405222113E-1
2.264742917E-1,-2.570455968E-1,8.036165684E-2,9.731765091E-2,2.863584466E-1
2.364492917E-1,-2.889903486E-1,1.150581166E-1,1.114446968E-1,3.304144552E-1
2.464242917E-1,-3.160166442E-1,1.470208466E-1,1.292276829E-1,3.717276460E-1
2.564002917E-1,-3.446698785E-1,1.640072018E-1,1.530743986E-1,4.112510898E-1
2.663752917E-1,-3.719893992E-1,1.753935367E-1,1.764944941E-1,4.475369396E-1
2.763512917E-1,-4.011687338E-1,1.933740526E-1,1.944060922E-1,4.859255148E-1
2.863262917E-1,-4.208739996E-1,2.648317218E-1,2.026855946E-1,5.369843709E-1
2.963012917E-1,-4.117326140E-1,4.816072583E-1,1.874764413E-1,6.607697880E-1
3.062772917E-1,-3.712000847E-1,7.620932460E-1,1.603692025E-1,8.627246951E-1
3.162522917E-1,-3.213289976E-1,9.637911916E-1,1.282992363E-1,1.024014883E0
3.262282917E-1,-2.639682293E-1,1.070811152E0,9.460438788E-2,1.106917224E0
3.362060417E-1,-1.989479810E-1,1.087991476E0,6.153437123E-2,1.107741951E0
3.461810417E-1,-1.324251443E-1,1.017986298E0,3.415680677E-2,1.027131544E0
3.561570416E-1,-6.543944776E-2,8.505678773E-1,1.442643069E-2,8.532034676E-1
3.661320417E-1,-3.411230166E-3,6.150195599E-1,8.045762777E-3,6.150816448E-1
3.761080417E-1,5.965116620E-2,3.602562547E-1,1.225338504E-2,3.653669061E-1
3.860830417E-1,1.233803406E-1,1.415175200E-1,1.986230165E-2,1.887973197E-1
3.960580417E-1,1.835076213E-1,-9.230902418E-3,2.231540903E-2,1.850898001E-1
4.060340417E-1,2.473878115E-1,-7.800544053E-2,2.630935237E-2,2.607254496E-1
4.160090417E-1,3.115161359E-1,-6.022900715E-2,2.075758576E-2,3.179633841E-1
4.259840416E-1,3.687243164E-1,4.652620107E-2,1.093504950E-2,3.718089350E-1
4.359600417E-1,4.171882272E-1,2.461114824E-1,-6.358679384E-3,4.844144005E-1
4.459350417E-1,4.534756541E-1,5.164651871E-1,-3.197775781E-2,6.880399954E-1
4.559110417E-1,4.761660993E-1,8.201065063E-1,-6.365377456E-2,9.504528599E-1
4.658860417E-1,4.868794680E-1,1.103788376E0,-9.966877103E-2,1.210509917E0
4.758610417E-1,4.727510512E-1,1.329053879E0,-1.353389770E-1,1.417107762E0
4.858370417E-1,4.437830448E-1,1.472955465E0,-1.635368019E-1,1.547024718E0
4.958120417E-1,3.922668695E-1,1.532386780E0,-1.783882678E-1,1.591824398E0
5.057880417E-1,3.279568553E-1,1.499886632E0,-1.800660640E-1,1.545845851E0
5.157630417E-1,2.496277839E-1,1.381974578E0,-1.673443168E-1,1.414274332E0
5.257380417E-1,1.656127870E-1,1.191108584E0,-1.386144012E-1,1.210529309E0
5.357140417E-1,7.002556324E-2,9.574726820E-1,-1.022177413E-1,9.654563599E-1
5.456890417E-1,-2.371397614E-2,7.335964441E-1,-6.153422594E-2,7.365545170E-1
5.556650417E-1,-1.150774285E-1,5.522660017E-1,-2.249213308E-2,5.645763431E-1
5.656400417E-1,-1.960191429E-1,4.426849186E-1,1.496975310E-2,4.843733427E-1
5.756150417E-1,-2.654274404E-1,4.099382162E-1,4.641580954E-2,4.905665038E-1
5.855910417E-1,-3.218861818E-1,4.585646093E-1,6.955228746E-2,5.645615428E-1
5.955660417E-1,-3.590414524E-1,5.849233866E-1,8.141618222E-2,6.911401648E-1
6.055420417E-1,-3.851955533E-1,7.820670605E-1,8.836276829E-2,8.762490971E-1
6.155170417E-1,-3.932007849E-1,1.013684154E0,8.451234549E-2,1.090552501E0
6.254920417E-1,-3.819044530E-1,1.238951683E0,7.809758931E-2,1.298826978E0
6.354680417E-1,-3.658852577E-1,1.419063807E0,6.855923682E-2,1.467076848E0
6.454430417E-1,-3.372927606E-1,1.532345891E0,6.028106436E-2,1.570186022E0
6.554180417E-1,-3.004964292E-1,1.563558578E0,5.282640457E-2,1.593048700E0
6.653940417E-1,-2.601362467E-1,1.512913823E0,5.197551847E-2,1.535994973E0
6.753690417E-1,-2.065923661E-1,1.385264754E0,5.146782473E-2,1.401530514E0
6.853450417E-1,-1.565608978E-1,1.184867978E0,5.185052007E-2,1.196290900E0
6.953200417E-1,-9.597661346E-2,9.486603141E-1,5.972703546E-2,9.553717709E-1
7.052950417E-1,-3.689997643E-2,7.086362243E-1,6.615963578E-2,7.126738413E-1
7.152710417E-1,2.801087871E-2,5.001555681E-1,6.878443807E-2,5.056396944E-1
7.252460417E-1,9.508711845E-2,3.450517356E-1,6.474761665E-2,3.637231285E-1
7.352220417E-1,1.580385268E-1,2.581192255E-1,4.724664986E-2,3.063232875E-1
7.451970417E-1,2.222990096E-1,2.368608117E-1,2.915286832E-2,3.261438080E-1
7.551720417E-1,2.803345919E-1,2.774408162E-1,3.927079961E-3,3.944316314E-1
7.651480417E-1,3.290789425E-1,3.775690198E-1,-1.959875226E-2,5.012339037E-1
7.751230417E-1,3.720844090E-1,5.129697919E-1,-4.855034128E-2,6.355642772E-1
7.850990417E-1,4.047382176E-1,6.769033670E-1,-7.655374706E-2,7.923835367E-1
7.950740417E-1,4.222703576E-1,8.143673539E-1,-1.055807173E-1,9.233925113E-1
8.050490417E-1,4.243212640E-1,9.055593610E-1,-1.212688684E-1,1.007369063E0
8.150250417E-1,4.074924588E-1,9.251027703E-1,-1.276662052E-1,1.018903283E0
8.250000417E-1,3.730229139E-1,8.846001029E-1,-1.236623973E-1,9.679647849E-1
8.349760417E-1,3.255693614E-1,7.837272882E-1,-1.139881983E-1,8.562810174E-1
8.449510417E-1,2.702440619E-1,6.382507682E-1,-9.718658775E-2,6.998865115E-1
8.549260417E-1,2.021653652E-1,4.513664544E-1,-7.562702894E-2,5.003218549E-1
8.649020417E-1,1.311556399E-1,2.422015071E-1,-4.651628435E-2,2.793333790E-1
8.748770417E-1,5.151981488E-2,4.579098523E-2,-2.158167958E-2,7.222793467E-2
8.848520417E-1,-2.180366591E-2,-1.244374737E-1,1.047067344E-4,1.263332722E-1
8.948280417E-1,-9.576933831E-2,-2.396986336E-1,1.674877107E-2,2.586652710E-1
9.048030417E-1,-1.633260101E-1,-2.988980412E-1,2.600405365E-2,3.416015741E-1
9.147790417E-1,-2.161677927E-1,-3.069664538E-1,2.727004513E-2,3.764313665E-1
9.247540417E-1,-2.689993083E-1,-2.683436871E-1,3.152976930E-2,3.812651159E-1
9.347290417E-1,-3.129622042E-1,-1.956063658E-1,3.793352097E-2,3.710069320E-1
9.447050416E-1,-3.370185494E-1,-9.395403415E-2,4.258313403E-2,3.524516797E-1
9.546800417E-1,-3.493323028E-1,1.737284288E-2,4.341109842E-2,3.524477223E-1
9.646560417E-1,-3.498622775E-1,1.109712347E-1,4.575574398E-2,3.698808136E-1
9.746310417E-1,-3.416166306E-1,1.564984173E-1,4.979981109E-2,3.790431348E-1
9.846060417E-1,-3.293224275E-1,1.499209404E-1,6.068015471E-2,3.668945772E-1
9.945820417E-1,-3.067333102E-1,8.368270844E-2,7.235284895E-2,3.260721608E-1
1.004557042E0,-2.750376761E-1,-3.502050787E-2,7.915962487E-2,2.883373119E-1
1.014533042E0,-2.392219603E-1,-1.795607209E-1,7.889412344E-2,3.093436301E-1
1.024508042E0,-1.930020005E-1,-3.579664230E-1,7.804138213E-2,4.141016657E-1
1.034483042E0,-1.484543830E-1,-5.404731035E-1,7.417957485E-2,5.653781821E-1
1.044459042E0,-9.654618055E-2,-7.170396447E-1,6.719543785E-2,7.266238669E-1
1.054434042E0,-4.114603996E-2,-8.569397330E-1,5.888210610E-2,8.599452338E-1
1.064409042E0,1.818626001E-2,-9.519535899E-1,4.164532945E-2,9.530376230E-1
1.074385042E0,7.989326119E-2,-9.870889783E-1,2.307280153E-2,9.905856543E-1
1.084360042E0,1.393328905E-1,-9.765782356E-1,2.766735852E-4,9.864678308E-1
1.094336042E0,1.955886930E-1,-9.239209294E-1,-1.879339293E-2,9.445835126E-1
1.104311042E0,2.476822436E-1,-8.379088640E-1,-3.483574092E-2,8.744434156E-1
1.114286042E0,2.903597653E-1,-7.384494543E-1,-5.503400415E-2,7.953899242E-1
1.124262042E0,3.208931684E-1,-6.427365541E-1,-7.144999504E-2,7.219333802E-1
1.134237042E0,3.395757377E-1,-5.686144829E-1,-8.651342988E-2,6.679211670E-1
1.144213042E0,3.461225927E-1,-5.409106612E-1,-9.647232294E-2,6.493782424E-1
1.154188042E0,3.324956894E-1,-5.650150180E-1,-9.524650127E-2,6.624705654E-1
1.164163042E0,3.057501018E-1,-6.269199252E-1,-9.119024128E-2,7.034396758E-1
1.174139042E0,2.689893842E-1,-7.290419936E-1,-8.005806804E-2,7.811957575E-1
1.184114042E0,2.183608264E-1,-8.528837562E-1,-7.082701474E-2,8.832375773E-1
1.194090042E0,1.635142267E-1,-9.866652489E-1,-5.521344393E-2,1.001645516E0
1.204065042E0,9.795279801E-2,-1.112229586E0,-3.667597473E-2,1.117136755E0
1.214040042E0,3.082329780E-2,-1.211520791E0,-1.821734011E-2,1.212049741E0
1.224016042E0,-3.691793233E-2,-1.267206073E0,2.357975580E-3,1.267745923E0
1.233991042E0,-1.024997160E-1,-1.276118040E0,1.806579158E-2,1.280355348E0
1.243966042E0,-1.519178599E-1,-1.239614129E0,3.278002143E-2,1.249318516E0
