"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.150719583E-1,4.127880931E-1,2.542456985E-1,-1.357851177E-1,5.034605081E-1
6.250459584E-1,3.808661997E-1,1.501240134E-1,-1.142823100E-1,4.250373253E-1
6.350209583E-1,3.325194120E-1,-3.217880847E-3,-8.624134958E-2,3.435361473E-1
6.449959583E-1,2.799388170E-1,-2.032639831E-1,-4.654852301E-2,3.490684075E-1
6.549709583E-1,2.147742063E-1,-4.438283741E-1,1.244829036E-3,4.930650413E-1
6.649459584E-1,1.325490028E-1,-7.016918659E-1,3.751192242E-2,7.150859089E-1
6.749209584E-1,4.519785196E-2,-9.475061297E-1,6.387775391E-2,9.507318650E-1
6.848959583E-1,-3.683523461E-2,-1.149181485E0,7.880556583E-2,1.152469192E0
6.948699584E-1,-1.080803871E-1,-1.295247078E0,8.515161276E-2,1.302534898E0
7.048449584E-1,-1.664662063E-1,-1.389950275E0,7.367356867E-2,1.401820445E0
7.148199583E-1,-2.204942852E-1,-1.439127684E0,4.816874117E-2,1.456717696E0
7.247949583E-1,-2.738466859E-1,-1.457436085E0,1.716519892E-2,1.483039646E0
7.347699583E-1,-3.217590749E-1,-1.430890560E0,-2.088684589E-2,1.466769565E0
7.447449584E-1,-3.481055200E-1,-1.365292192E0,-5.341091752E-2,1.409983315E0
7.547199583E-1,-3.603741527E-1,-1.276807666E0,-7.447624952E-2,1.328779160E0
7.646949583E-1,-3.503577709E-1,-1.195565701E0,-8.608183265E-2,1.248814636E0
7.746689584E-1,-3.347961009E-1,-1.150902629E0,-8.392014354E-2,1.201543957E0
7.846439584E-1,-3.119278550E-1,-1.160682440E0,-6.938996911E-2,1.203867800E0
7.946189583E-1,-2.786228955E-1,-1.206521273E0,-4.897684604E-2,1.239242926E0
8.045939583E-1,-2.381757349E-1,-1.283435583E0,-2.076833136E-2,1.305513654E0
8.145689583E-1,-1.810970008E-1,-1.394172549E0,8.618319407E-3,1.405911625E0
8.245439584E-1,-1.182375550E-1,-1.542957306E0,3.445539996E-2,1.547864510E0
8.345189583E-1,-5.566072464E-2,-1.712843537E0,5.504696071E-2,1.714631525E0
8.444929583E-1,7.951318286E-3,-1.874697089E0,6.059163436E-2,1.875692871E0
8.544679584E-1,7.218969613E-2,-2.002620935E0,5.281201005E-2,2.004617438E0
8.644429584E-1,1.323531568E-1,-2.075038433E0,3.148798645E-2,2.079493532E0
8.744179583E-1,1.897671819E-1,-2.098646164E0,-5.448456854E-3,2.107215459E0
8.843929583E-1,2.395396382E-1,-2.073699713E0,-4.185560346E-2,2.087908434E0
8.943679584E-1,2.780934274E-1,-2.013665915E0,-8.313353360E-2,2.034477219E0
9.043429584E-1,3.009887338E-1,-1.904910684E0,-1.200066432E-1,1.932273408E0
9.143169583E-1,3.132928014E-1,-1.773778796E0,-1.459634006E-1,1.807138321E0
9.242954584E-1,3.118497133E-1,-1.632604361E0,-1.600226611E-1,1.669806724E0
9.342704584E-1,3.010926843E-1,-1.500579238E0,-1.594322473E-1,1.538770124E0
9.442454583E-1,2.761009037E-1,-1.395049095E0,-1.432113647E-1,1.429301641E0
9.542204583E-1,2.383000106E-1,-1.332003832E0,-1.169696450E-1,1.358198439E0
9.641954583E-1,1.883043051E-1,-1.311710477E0,-8.403008431E-2,1.327819243E0
9.741704584E-1,1.345079094E-1,-1.320763111E0,-4.872082919E-2,1.328488349E0
9.841444583E-1,7.103355229E-2,-1.355790854E0,-1.105201803E-2,1.357695382E0
9.941194583E-1,9.184033610E-3,-1.405105352E0,1.466532890E-2,1.405211895E0
1.004094458E0,-5.201895162E-2,-1.455090284E0,2.511106245E-2,1.456236338E0
1.014069458E0,-1.096359044E-1,-1.489118099E0,3.699595481E-2,1.493606858E0
1.024044458E0,-1.546299607E-1,-1.489757299E0,4.745288938E-2,1.498512266E0
1.034019458E0,-1.931331456E-1,-1.465571523E0,5.484875664E-2,1.479259506E0
1.043994458E0,-2.261838466E-1,-1.411633015E0,5.921114981E-2,1.430864375E0
1.053968458E0,-2.507030368E-1,-1.306820512E0,6.950347126E-2,1.332464857E0
1.063943458E0,-2.581748068E-1,-1.142015338E0,8.087064326E-2,1.173624013E0
1.073918458E0,-2.613666058E-1,-9.501225948E-1,1.008206457E-1,9.905605738E-1
1.083893458E0,-2.581376433E-1,-7.588315010E-1,1.182595417E-1,8.102133108E-1
1.093868458E0,-2.396843433E-1,-5.870794654E-1,1.367445588E-1,6.486986646E-1
1.103843458E0,-2.143539190E-1,-4.445526302E-1,1.460357010E-1,5.146854084E-1
1.113818458E0,-1.827262193E-1,-3.284116387E-1,1.479862034E-1,4.039096336E-1
1.123792458E0,-1.455600560E-1,-2.349725366E-1,1.396154910E-1,3.096648320E-1
1.133767458E0,-1.118012965E-1,-1.672174633E-1,1.149756461E-1,2.316907618E-1
1.143742458E0,-6.956537068E-2,-1.287164241E-1,7.934552431E-2,1.664420946E-1
1.153717458E0,-2.939345315E-2,-1.093720272E-1,3.201103210E-2,1.176899384E-1
1.163692458E0,1.110913884E-2,-1.060163379E-1,-1.960559934E-2,1.083847609E-1
1.173667458E0,4.988769442E-2,-8.876837790E-2,-7.014733553E-2,1.236497297E-1
1.183642458E0,8.217023313E-2,-5.710555241E-2,-1.201137453E-1,1.563339475E-1
1.193616458E0,1.102809682E-1,-3.937139176E-3,-1.557170153E-1,1.908538233E-1
1.203591458E0,1.366047561E-1,6.837284565E-2,-1.839808971E-1,2.391331761E-1
1.213566458E0,1.565174758E-1,1.657249629E-1,-1.918896884E-1,2.979666694E-1
1.223541458E0,1.724102348E-1,2.894532979E-1,-1.868555695E-1,3.852577119E-1
1.233516458E0,1.797810644E-1,4.397701025E-1,-1.657875627E-1,5.031942867E-1
1.243491458E0,1.760893613E-1,5.951842666E-1,-1.369050592E-1,6.356058288E-1
1.253466458E0,1.713534594E-1,7.567321658E-1,-1.038685441E-1,7.828117611E-1
1.263440458E0,1.717135310E-1,9.584260583E-1,-6.914216280E-2,9.761386606E-1
1.273415458E0,1.700141579E-1,1.108628273E0,-2.891458571E-2,1.121961459E0
1.283390458E0,1.462231725E-1,1.194936991E0,1.724869013E-2,1.203973897E0
1.293365458E0,1.003459617E-1,1.233182907E0,5.242185667E-2,1.238368865E0
1.303340458E0,5.642761663E-2,1.251419425E0,7.174718380E-2,1.254743923E0
1.313315458E0,1.388281956E-2,1.274560690E0,9.024336934E-2,1.277826886E0
1.323290458E0,-2.441099286E-2,1.274719596E0,1.078758985E-1,1.279508950E0
1.333264458E0,-5.861263722E-2,1.250464320E0,1.150927916E-1,1.257116863E0
1.343239458E0,-9.795290232E-2,1.202827692E0,1.123638526E-1,1.212029234E0
1.353214458E0,-1.344339550E-1,1.170355797E0,1.104889885E-1,1.183221448E0
1.363189458E0,-1.664922088E-1,1.158921003E0,9.757810831E-2,1.174878306E0
1.373164458E0,-1.841503084E-1,1.184685707E0,9.197482467E-2,1.202435416E0
