"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.437166652E-3,3.167949915E-1,-9.665800333E-1,1.285360456E-1,1.025259744E0
1.641216665E-2,3.127736151E-1,-8.999125957E-1,1.156737581E-1,9.597137243E-1
2.638716667E-2,2.854606211E-1,-7.690441012E-1,8.899535239E-2,8.251283346E-1
3.636216666E-2,2.216787189E-1,-5.783439279E-1,6.413927674E-2,6.226853139E-1
4.633816666E-2,1.130703092E-1,-2.853004634E-1,3.034210950E-2,3.083859479E-1
5.631316666E-2,-4.122951254E-2,1.572529972E-1,-7.712331600E-3,1.627509075E-1
6.628816665E-2,-2.080307156E-1,7.141170502E-1,-3.858171403E-2,7.448009725E-1
7.626316664E-2,-3.610413373E-1,1.233802319E0,-6.303779036E-2,1.287086932E0
8.623816667E-2,-5.008654594E-1,1.619550347E0,-7.389243692E-2,1.696841073E0
9.621316666E-2,-6.351301074E-1,1.872602105E0,-6.737595052E-2,1.978526830E0
1.061881667E-1,-7.594872713E-1,2.054327011E0,-5.271453410E-2,2.190858098E0
1.161631666E-1,-8.652238250E-1,2.196809292E0,-1.494318526E-2,2.361102842E0
1.261381667E-1,-9.508780241E-1,2.193419933E0,5.801666901E-2,2.391364873E0
1.361131667E-1,-1.004187107E0,1.970238090E0,1.467800885E-1,2.216252303E0
1.460881667E-1,-1.031457186E0,1.561412930E0,2.258204520E-1,1.884916216E0
1.560631667E-1,-1.021866083E0,1.108390093E0,2.988067865E-1,1.536887890E0
1.660381666E-1,-9.743689895E-1,6.755820513E-1,3.527044952E-1,1.237015156E0
1.760131667E-1,-8.912767768E-1,2.976470292E-1,3.764558733E-1,1.012268280E0
1.859881667E-1,-7.742842436E-1,3.130394220E-2,3.758455515E-1,8.612525212E-1
1.959665833E-1,-6.251232624E-1,-9.655628353E-2,3.373013437E-1,7.168503369E-1
2.059415833E-1,-4.518392980E-1,-2.821273915E-2,2.721260488E-1,5.282114125E-1
2.159165833E-1,-2.582376003E-1,2.369997501E-1,1.944925189E-1,4.008526908E-1
2.258915833E-1,-5.354912952E-2,6.502979398E-1,1.109574065E-1,6.618658971E-1
2.358665833E-1,1.568938643E-1,1.156233072E0,2.084242925E-2,1.167015428E0
2.458415833E-1,3.549634516E-1,1.661269665E0,-5.181351304E-2,1.699558940E0
2.558165833E-1,5.454705954E-1,2.138820171E0,-1.069974005E-1,2.209872924E0
2.657915833E-1,7.110576630E-1,2.542016029E0,-1.368555725E-1,2.643137897E0
2.757665833E-1,8.414319158E-1,2.808027744E0,-1.464818269E-1,2.935044192E0
2.857425833E-1,9.360963702E-1,2.916640997E0,-1.320881099E-1,3.066026482E0
2.957175833E-1,9.899931550E-1,2.855023623E0,-1.058141738E-1,3.023647296E0
3.056925833E-1,9.972825050E-1,2.648795128E0,-7.185339928E-2,2.831227814E0
3.156675833E-1,9.630576968E-1,2.326850653E0,-4.151600227E-2,2.518618206E0
3.256425833E-1,8.890659213E-1,1.967268348E0,-1.700326800E-2,2.158905296E0
3.356175833E-1,7.756873965E-1,1.590908527E0,-5.858206190E-3,1.769947795E0
3.455925833E-1,6.334721446E-1,1.256033897E0,-8.547307923E-3,1.406762654E0
3.555675833E-1,4.668972492E-1,9.992403388E-1,-2.895031683E-2,1.103318819E0
3.655425833E-1,2.970945239E-1,8.685834408E-1,-5.470424145E-2,9.196167157E-1
3.755175833E-1,1.283260137E-1,8.903211951E-1,-7.850304991E-2,9.029408204E-1
3.854925833E-1,-3.704708442E-2,1.056398153E0,-9.699928761E-2,1.061488769E0
3.954675833E-1,-1.938502789E-1,1.317864180E0,-1.076934785E-1,1.336391339E0
4.054425833E-1,-3.465214670E-1,1.619467497E0,-1.104159579E-1,1.659802333E0
4.154175833E-1,-4.843792021E-1,1.918262959E0,-9.918008000E-2,1.980957515E0
4.253925833E-1,-5.969006419E-1,2.182833672E0,-7.497825474E-2,2.264216189E0
4.353675833E-1,-6.797073483E-1,2.374128103E0,-3.227526322E-2,2.469722256E0
4.453425833E-1,-7.353063226E-1,2.462493181E0,1.912224479E-2,2.570002668E0
4.553175833E-1,-7.730225325E-1,2.424841404E0,7.254924625E-2,2.546111361E0
4.652925833E-1,-7.824209332E-1,2.259293556E0,1.204314679E-1,2.393970265E0
4.752675833E-1,-7.722936869E-1,1.994320273E0,1.719164997E-1,2.145531676E0
4.852425833E-1,-7.279756665E-1,1.654904485E0,2.065341771E-1,1.819701566E0
4.952175833E-1,-6.608474851E-1,1.287257195E0,2.254479527E-1,1.464437524E0
