"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.990200000E-1,-2.982666492E-1,3.628493547E-1,1.855669543E-4,4.697048890E-1
6.089950000E-1,-2.752833068E-1,4.929932356E-1,2.732347697E-3,5.646509498E-1
6.189710000E-1,-2.494949847E-1,5.828852654E-1,4.063064232E-3,6.340500678E-1
6.289460000E-1,-2.227840126E-1,6.310895085E-1,4.983186722E-3,6.692768606E-1
6.389220000E-1,-1.894196421E-1,6.287871003E-1,6.415089592E-4,6.566988883E-1
6.488980000E-1,-1.579157859E-1,5.579067469E-1,-1.835231204E-3,5.798281657E-1
6.588730000E-1,-1.193131357E-1,4.208781719E-1,-5.917733070E-3,4.375032337E-1
6.688490000E-1,-8.071620762E-2,2.292658687E-1,-1.082221046E-2,2.433003595E-1
6.788240000E-1,-3.892393783E-2,4.526220728E-3,-1.416782290E-2,4.166877507E-2
6.888000000E-1,-2.448749961E-3,-2.286702842E-1,-1.835830510E-2,2.294190982E-1
6.987750000E-1,3.952024877E-2,-4.560808241E-1,-1.925259084E-2,4.581945334E-1
7.087510000E-1,7.924634963E-2,-6.431617737E-1,-2.109789476E-2,6.483688551E-1
7.187270000E-1,1.153064594E-1,-7.832456231E-1,-1.827865466E-2,7.918986014E-1
7.287020000E-1,1.520157307E-1,-8.758804798E-1,-1.687783003E-2,8.891345559E-1
7.386780000E-1,1.881314665E-1,-9.129626155E-1,-1.476155594E-2,9.322618138E-1
7.486530000E-1,2.203480005E-1,-8.945586085E-1,-1.145817060E-2,9.213683493E-1
7.586290000E-1,2.513720393E-1,-8.150115609E-1,-1.021728385E-2,8.529572905E-1
7.686040000E-1,2.784611881E-1,-7.036930323E-1,-6.438258104E-3,7.568130338E-1
7.785800000E-1,2.959698439E-1,-5.702245235E-1,-1.285888255E-3,6.424607453E-1
7.885550000E-1,3.051526845E-1,-4.453773797E-1,8.587781340E-3,5.399564067E-1
7.985310000E-1,3.037038445E-1,-3.498368263E-1,8.111716248E-3,4.633439653E-1
8.085070000E-1,3.010785282E-1,-2.912941575E-1,1.334589254E-2,4.191404051E-1
8.184820000E-1,2.860510647E-1,-2.943158150E-1,1.908767223E-2,4.108665840E-1
8.284580000E-1,2.648837268E-1,-3.498661518E-1,1.818406209E-2,4.392042498E-1
8.384330000E-1,2.361135334E-1,-4.425885081E-1,2.138359658E-2,5.020870904E-1
8.484090000E-1,2.006226629E-1,-5.793055892E-1,1.764212176E-2,6.133153047E-1
8.583840000E-1,1.568349451E-1,-7.448059916E-1,1.970966905E-2,7.613945339E-1
8.683600000E-1,1.126704216E-1,-9.254098535E-1,2.199519426E-2,9.325029809E-1
