"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
7.298708340E-3,1.205103705E-3,-1.861067563E-1,1.403803006E-3,1.861159523E-1
1.727370833E-2,3.687602002E-3,-1.902043223E-1,1.026005950E-2,1.905165386E-1
2.724970834E-2,4.391475581E-3,-2.058389336E-1,2.272365242E-2,2.071359844E-1
3.722470833E-2,3.563715145E-3,-2.268429101E-1,3.640639782E-2,2.297734356E-1
4.720070833E-2,-4.502013326E-4,-2.254937589E-1,5.290840566E-2,2.316180852E-1
5.717570835E-2,-3.894913942E-3,-2.160826474E-1,6.091718376E-2,2.245390482E-1
6.715170835E-2,1.383471070E-3,-1.956697702E-1,6.338886172E-2,2.056859761E-1
7.712670835E-2,6.216994021E-3,-1.885554194E-1,6.182394177E-2,1.985295872E-1
8.710270835E-2,1.596016996E-2,-1.949757636E-1,5.145066231E-2,2.022806122E-1
9.707770834E-2,2.297099307E-2,-2.127092630E-1,4.545069486E-2,2.187205128E-1
1.070527083E-1,4.614954814E-2,-2.300520390E-1,3.322305530E-2,2.369757221E-1
1.170287083E-1,7.815581560E-2,-2.535835505E-1,2.238258719E-2,2.662966931E-1
1.270037083E-1,1.094631329E-1,-2.639919817E-1,4.077616148E-3,2.858156239E-1
1.369797083E-1,1.467731148E-1,-2.608513534E-1,-1.533504948E-2,2.997014173E-1
1.469547084E-1,1.740050018E-1,-2.628295422E-1,-3.970403597E-2,3.177003610E-1
1.569307083E-1,1.936761141E-1,-2.423952222E-1,-6.017520279E-2,3.160489455E-1
1.669057083E-1,2.092862278E-1,-1.869420856E-1,-7.797736675E-2,2.912533918E-1
1.768817084E-1,2.148769498E-1,-7.593607903E-2,-8.256071061E-2,2.423936109E-1
1.868567083E-1,2.134058177E-1,8.822223544E-2,-8.187867701E-2,2.450088236E-1
1.968327083E-1,2.108975202E-1,3.105675280E-1,-6.788342446E-2,3.814945777E-1
2.068077083E-1,1.951177567E-1,4.928587675E-1,-5.355268717E-2,5.327744307E-1
2.167837083E-1,1.666044742E-1,4.361962676E-1,-3.319117054E-2,4.681088426E-1
2.267587083E-1,1.429992765E-1,3.661042750E-1,-1.032047626E-2,3.931763542E-1
2.367337083E-1,1.136389077E-1,3.964104056E-1,-3.765579313E-3,4.123944600E-1
2.467097083E-1,8.244237304E-2,4.419187605E-1,-9.190291166E-6,4.495430301E-1
2.566847084E-1,5.125357211E-2,5.197079778E-1,1.380423829E-2,5.224115885E-1
