"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.000833237E-4,-6.053970195E-3,7.436744124E-2,7.778912783E-2,1.077882892E-1
1.057508332E-2,-4.527446348E-3,1.353767216E-1,1.043600142E-1,1.709923013E-1
2.055108332E-2,-1.537201554E-2,2.134839892E-1,1.510569900E-1,2.619731413E-1
3.052608334E-2,-4.569050670E-2,2.986116707E-1,1.839851141E-1,3.537047844E-1
4.050208331E-2,-9.474922717E-2,3.697904050E-1,2.183413059E-1,4.397673084E-1
5.047708334E-2,-2.288053036E-1,4.147373736E-1,2.723038793E-1,5.463591847E-1
6.045283334E-2,-4.210723341E-1,4.774494767E-1,3.070636690E-1,7.067871038E-1
7.042783333E-2,-5.930100083E-1,4.828625917E-1,3.171285391E-1,8.278814304E-1
8.040383333E-2,-7.297695875E-1,4.357143044E-1,3.001293838E-1,9.013813028E-1
9.037883332E-2,-8.286975026E-1,3.446046412E-1,2.828350961E-1,9.410035075E-1
1.003548333E-1,-8.954769969E-1,2.451887727E-1,2.577939332E-1,9.635633338E-1
1.103298333E-1,-9.040758014E-1,1.565840542E-1,2.181455940E-1,9.431114043E-1
1.203058333E-1,-8.438695669E-1,1.251676977E-1,1.385786831E-1,8.642840100E-1
1.302808333E-1,-7.238872647E-1,1.321084350E-1,8.656422049E-2,7.409175223E-1
1.402568333E-1,-5.675243735E-1,1.955153793E-1,7.240931690E-2,6.046100291E-1
1.502318333E-1,-3.912665248E-1,3.057907820E-1,7.754548639E-2,5.026040173E-1
1.602078333E-1,-2.030605376E-1,4.475632310E-1,7.906889915E-2,4.977934496E-1
1.701828333E-1,-9.331800975E-3,6.126621962E-1,7.406401634E-2,6.171932660E-1
1.801588333E-1,1.870085895E-1,7.883324027E-1,6.591936201E-2,8.128871705E-1
1.901338333E-1,3.781899810E-1,9.496688247E-1,6.991490722E-2,1.024590959E0
2.001098333E-1,5.590379834E-1,1.076257825E0,9.257675707E-2,1.216316089E0
2.100848333E-1,7.200987935E-1,1.148853660E0,1.340895742E-1,1.362492942E0
2.200598333E-1,8.451726437E-1,1.154256701E0,1.862894297E-1,1.442681213E0
2.300358333E-1,9.427615404E-1,1.097429872E0,2.273074389E-1,1.464520507E0
2.400108333E-1,9.963755012E-1,9.877120852E-1,2.474264503E-1,1.424625969E0
2.499868333E-1,1.014939904E0,8.483685851E-1,2.451294959E-1,1.345332946E0
2.599618333E-1,9.938532114E-1,6.971551776E-1,2.246924937E-1,1.234607737E0
2.699378333E-1,9.438499212E-1,5.558300018E-1,1.844129860E-1,1.110769019E0
2.799128333E-1,8.626871109E-1,4.376242161E-1,1.213651597E-1,9.749223086E-1
2.898888333E-1,7.558009028E-1,3.693663478E-1,4.065113515E-2,8.422107921E-1
2.998638333E-1,6.397382617E-1,3.766916990E-1,-5.490319058E-2,7.444300101E-1
3.098398333E-1,5.033223629E-1,4.459264278E-1,-1.595497131E-1,6.911149622E-1
3.198148333E-1,3.661704063E-1,5.752422810E-1,-2.550148070E-1,7.280226645E-1
3.297908333E-1,2.189282477E-1,7.442704439E-1,-3.349626660E-1,8.450254783E-1
3.397658333E-1,7.325872779E-2,9.400992393E-1,-3.962542117E-1,1.022824922E0
3.497418333E-1,-6.195582449E-2,1.136937976E0,-4.275756478E-1,1.216259602E0
3.597168333E-1,-1.920877695E-1,1.312155366E0,-4.357405305E-1,1.395893701E0
3.696928333E-1,-3.146951795E-1,1.438633204E0,-4.117132127E-1,1.529119459E0
3.796678333E-1,-4.316520989E-1,1.502053022E0,-3.633334041E-1,1.604524222E0
3.896438333E-1,-5.282268524E-1,1.497703195E0,-2.956568897E-1,1.615410618E0
3.996188333E-1,-6.166989803E-1,1.430076003E0,-2.164314538E-1,1.572347793E0
4.095948333E-1,-6.832281947E-1,1.300722837E0,-1.330713183E-1,1.475258839E0
4.195698333E-1,-7.276530862E-1,1.137697339E0,-5.521123111E-2,1.351622184E0
4.295448333E-1,-7.500841022E-1,9.558433294E-1,1.162665524E-2,1.215071113E0
4.395208333E-1,-7.433354259E-1,7.768469453E-1,6.194283068E-2,1.076975230E0
4.494958333E-1,-7.112578750E-1,6.266204119E-1,9.683211148E-2,9.528469778E-1
4.594718333E-1,-6.538493037E-1,5.247754455E-1,1.122018173E-1,8.458708104E-1
4.694468333E-1,-5.707796812E-1,4.739905894E-1,1.124779880E-1,7.504051046E-1
4.794228333E-1,-4.638593793E-1,4.812080860E-1,1.044265777E-1,6.764847788E-1
4.893978333E-1,-3.436490595E-1,5.413798094E-1,8.859568089E-2,6.473298763E-1
4.993738333E-1,-2.069087625E-1,6.357111931E-1,7.240127027E-2,6.724447196E-1
5.093488333E-1,-6.461979449E-2,7.494673133E-1,5.084084719E-2,7.539640331E-1
5.193248333E-1,7.576634735E-2,8.579221368E-1,2.292000130E-2,8.615661661E-1
5.292998333E-1,2.185844779E-1,9.500324130E-1,-3.125982359E-3,9.748592368E-1
5.392758333E-1,3.465830088E-1,9.901896119E-1,-1.655837707E-2,1.049223250E0
5.492508333E-1,4.634244144E-1,9.692307711E-1,-1.178918779E-2,1.074387947E0
5.592268333E-1,5.607354045E-1,9.089645743E-1,1.018009707E-2,1.068056378E0
5.692018333E-1,6.449519992E-1,8.018309474E-1,4.360463470E-2,1.029950151E0
5.791778333E-1,7.035408616E-1,6.540038586E-1,7.776476443E-2,9.637106150E-1
5.891528333E-1,7.339677215E-1,4.794789553E-1,1.113917008E-1,8.837515464E-1
5.991288333E-1,7.344787121E-1,2.981694043E-1,1.322295517E-1,8.036470783E-1
6.091038333E-1,7.150554657E-1,1.333136111E-1,1.478710920E-1,7.422551433E-1
6.190798333E-1,6.718641520E-1,4.303080495E-3,1.484859735E-1,6.880901391E-1
6.290548333E-1,6.107699275E-1,-7.751854509E-2,1.370290518E-1,6.307344847E-1
6.390298333E-1,5.331122279E-1,-1.230428368E-1,1.055977866E-1,5.572244429E-1
6.490058333E-1,4.385130107E-1,-1.250087917E-1,6.239944324E-2,4.602331465E-1
6.589808333E-1,3.288818896E-1,-8.298993111E-2,1.027623750E-2,3.393467651E-1
6.689568333E-1,2.143899500E-1,-1.113305055E-2,-3.845401853E-2,2.180956374E-1
6.789318333E-1,9.809859097E-2,7.751958072E-2,-8.283233643E-2,1.499793816E-1
6.889078333E-1,-1.997265406E-2,1.592197716E-1,-1.198292375E-1,2.002720368E-1
6.988828333E-1,-1.375573128E-1,2.251140177E-1,-1.436540037E-1,3.003910919E-1
7.088588333E-1,-2.522905469E-1,2.526859939E-1,-1.537207514E-1,3.887554514E-1
7.188338333E-1,-3.578115106E-1,2.399413586E-1,-1.531160325E-1,4.572148861E-1
7.288098333E-1,-4.573559463E-1,1.883641779E-1,-1.361724585E-1,5.130287162E-1
7.387848333E-1,-5.338184237E-1,9.709937871E-2,-1.120101064E-1,5.540186484E-1
7.487608333E-1,-6.009320021E-1,-2.376152761E-2,-8.544506878E-2,6.074411421E-1
7.587358333E-1,-6.452026367E-1,-1.727292538E-1,-5.888703465E-2,6.705143700E-1
7.687118333E-1,-6.734217405E-1,-3.244199753E-1,-3.379180282E-2,7.482560036E-1
7.786868333E-1,-6.745045781E-1,-4.682291746E-1,-1.412859838E-2,8.212153208E-1
7.886628333E-1,-6.535021067E-1,-5.948725939E-1,-6.311656907E-4,8.837074203E-1
7.986378333E-1,-6.121367216E-1,-6.874849200E-1,5.696271546E-3,9.205320900E-1
8.086138333E-1,-5.484424233E-1,-7.446587086E-1,9.722438641E-3,9.248784838E-1
8.185888333E-1,-4.678027630E-1,-7.622119188E-1,3.493946046E-3,8.943258030E-1
8.285648333E-1,-3.702090979E-1,-7.442256808E-1,-3.817762248E-3,8.312287383E-1
8.385398333E-1,-2.572726607E-1,-6.997584105E-1,-9.337720461E-3,7.456126662E-1
8.485158333E-1,-1.377241760E-1,-6.350217462E-1,-1.275295857E-2,6.499101513E-1
8.584908333E-1,-1.497885305E-2,-5.746783614E-1,-1.488539204E-2,5.750662223E-1
8.684658333E-1,1.084056646E-1,-5.271582603E-1,-8.022426628E-3,5.382489934E-1
8.784418333E-1,2.270307094E-1,-5.024212599E-1,7.376211695E-3,5.513841437E-1
8.884168333E-1,3.390952051E-1,-5.060266256E-1,2.718586847E-2,6.097438605E-1
8.983928333E-1,4.318499565E-1,-5.433672667E-1,4.588657990E-2,6.955917981E-1
9.083678333E-1,5.114752650E-1,-6.157653332E-1,6.713221222E-2,8.032936114E-1
9.183438333E-1,5.713256598E-1,-7.153074741E-1,8.482822031E-2,9.193876326E-1
9.283188333E-1,6.015309691E-1,-8.338690400E-1,1.037611589E-1,1.033413499E0
9.382948333E-1,6.127187014E-1,-9.565868378E-1,1.114236414E-1,1.141445493E0
9.482698333E-1,5.986774564E-1,-1.067533970E0,1.122076735E-1,1.229078531E0
9.582458333E-1,5.648988485E-1,-1.153136015E0,1.128101572E-1,1.289014938E0
9.682208333E-1,5.095775723E-1,-1.211334705E0,1.002725288E-1,1.317974071E0
9.781968333E-1,4.388119280E-1,-1.230125308E0,8.687343448E-2,1.308935130E0
9.881718333E-1,3.565250337E-1,-1.215412378E0,6.981402636E-2,1.268546943E0
9.981478333E-1,2.604669929E-1,-1.159394383E0,5.240588263E-2,1.189447253E0
1.008122833E0,1.528073698E-1,-1.076263547E0,4.034815356E-2,1.087805722E0
1.018098833E0,4.823190719E-2,-9.832203984E-1,2.240070328E-2,9.846575345E-1
1.028073833E0,-6.262190640E-2,-8.873354197E-1,1.546769682E-2,8.896768513E-1
1.038049833E0,-1.751018614E-1,-8.021620512E-1,1.126973797E-2,8.211282636E-1
1.048024833E0,-2.781925499E-1,-7.411996126E-1,6.363131106E-3,7.917123531E-1
1.058003458E0,-3.769955933E-1,-6.990930438E-1,7.888261229E-3,7.943040891E-1
1.067979458E0,-4.706240892E-1,-6.892305613E-1,1.184039190E-2,8.346651992E-1
1.077954458E0,-5.451047421E-1,-7.075359225E-1,1.304459013E-2,8.932616766E-1
