"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-2.692125010E-3,4.200198501E-2,-5.955237523E-2,2.961437218E-3,7.293436947E-2
7.282875013E-3,6.653502584E-2,-3.428297117E-2,-5.155611783E-3,7.502540975E-2
1.725787501E-2,8.097723871E-2,-6.605619565E-4,-6.473420188E-3,8.123825885E-2
2.723287500E-2,8.370351791E-2,1.953152567E-2,-5.394839682E-3,8.612121516E-2
3.720787499E-2,7.888454199E-2,2.235012688E-2,-2.117160708E-3,8.201695865E-2
4.718287502E-2,7.623416185E-2,2.054157481E-2,-1.965556294E-5,7.895317673E-2
5.715787501E-2,8.559624106E-2,2.122627199E-2,2.438709140E-3,8.822255045E-2
6.713287500E-2,1.073025987E-1,2.278555371E-2,9.386097081E-3,1.100959943E-1
7.710787500E-2,1.577978581E-1,1.999473758E-2,8.570839651E-3,1.592903414E-1
8.708287499E-2,2.450251728E-1,1.967515796E-2,-6.277081557E-3,2.458939790E-1
9.705787501E-2,3.798923492E-1,3.337605670E-2,-3.820275143E-2,3.832644105E-1
1.070328750E-1,5.562641621E-1,5.893814564E-2,-9.501809627E-2,5.673904843E-1
1.170078750E-1,7.357117534E-1,1.806916595E-1,-1.769224256E-1,7.779606703E-1
1.269828750E-1,8.801261783E-1,3.365100324E-1,-2.533072233E-1,9.757180130E-1
1.369578750E-1,9.795396328E-1,4.811328053E-1,-3.129228652E-1,1.135300572E0
1.469328750E-1,1.022644758E0,6.107435226E-1,-3.495783508E-1,1.241376242E0
1.569088750E-1,1.020728946E0,7.158835530E-1,-3.622661233E-1,1.298311822E0
1.668838750E-1,9.605665207E-1,7.759838700E-1,-3.483076990E-1,1.283026602E0
1.768588750E-1,8.496571183E-1,7.937974930E-1,-3.217635751E-1,1.206467354E0
1.868338750E-1,6.983419061E-1,7.839651108E-1,-2.776992023E-1,1.086001639E0
1.968088750E-1,5.095350146E-1,7.618092895E-1,-2.236814052E-1,9.434048419E-1
2.067838750E-1,2.883765399E-1,7.357885838E-1,-1.611535698E-1,8.065459329E-1
2.167588750E-1,5.113288760E-2,7.131990790E-1,-9.464514256E-2,7.212663874E-1
2.267338750E-1,-1.873627752E-1,7.055592537E-1,-1.976504177E-2,7.302803071E-1
2.367088750E-1,-4.101809561E-1,7.272240520E-1,4.274867103E-2,8.360207458E-1
2.466838750E-1,-6.005769968E-1,7.905740142E-1,1.103261113E-1,9.989353592E-1
2.566588750E-1,-7.498059869E-1,8.860575557E-1,1.705893874E-1,1.173204053E0
2.666338750E-1,-8.603045344E-1,1.006218791E0,2.197577357E-1,1.341973774E0
2.766088750E-1,-9.266415238E-1,1.141135216E0,2.506195307E-1,1.491195575E0
2.865838750E-1,-9.430181384E-1,1.291369200E0,2.605499029E-1,1.620124647E0
2.965588750E-1,-9.079071879E-1,1.430315614E0,2.453784049E-1,1.711814470E0
3.065338750E-1,-8.231672645E-1,1.539392114E0,2.247112095E-1,1.760064644E0
3.165088750E-1,-6.953675747E-1,1.602054954E0,1.907960325E-1,1.756849243E0
3.264838750E-1,-5.295192003E-1,1.617870092E0,1.572106332E-1,1.709564097E0
3.364588750E-1,-3.442482948E-1,1.591290116E0,1.190294847E-1,1.632445754E0
3.464338750E-1,-1.348159760E-1,1.525008559E0,8.174602687E-2,1.533136936E0
3.564088750E-1,7.008560747E-2,1.429676771E0,4.315970093E-2,1.432044141E0
3.663838750E-1,2.715454698E-1,1.311933637E0,8.071819320E-4,1.339741565E0
3.763588750E-1,4.569156468E-1,1.200966835E0,-4.169396684E-2,1.285624997E0
3.863338750E-1,6.174321175E-1,1.106320500E0,-8.534264565E-2,1.269823152E0
3.963088750E-1,7.489984632E-1,1.037900090E0,-1.282576621E-1,1.286345725E0
4.062838750E-1,8.403257132E-1,1.001697779E0,-1.674546003E-1,1.318175553E0
4.162588750E-1,8.854450583E-1,1.000490308E0,-2.007823586E-1,1.351039364E0
4.262348750E-1,8.835403323E-1,1.033622503E0,-2.249830365E-1,1.378272965E0
4.362098750E-1,8.347783089E-1,1.087935567E0,-2.422646135E-1,1.392533937E0
4.461848750E-1,7.465105057E-1,1.152786016E0,-2.487645894E-1,1.395735418E0
4.561598750E-1,6.206751466E-1,1.213551760E0,-2.384345233E-1,1.383761733E0
4.661348750E-1,4.633542299E-1,1.259335041E0,-2.116409987E-1,1.358460084E0
4.761098750E-1,2.840238512E-1,1.282557368E0,-1.783827394E-1,1.325685993E0
4.860848750E-1,9.294603020E-2,1.274733305E0,-1.334882379E-1,1.285069287E0
